物流单号,spu_id,商品名称,品牌,一级分类,发货仓库,目的地城市,物流公司,运输方式,发货日期,预计到达,实际到达,运输天数,物流运费,发货数量,件单价,物流状态
YT2605198412824,3468047522403118606,爆爆奢闲置 蔻驰 95新 YUTI,蔻驰 (COACH),箱包饰品,成都双流仓,武汉,中通快递,航空快件,2026-05-19,2026-05-24,2026-05-24,5,19.21,1,950.0,派送中
YT2605219916368,3441124321676911505,达芙妮时尚老爹鞋202003519,达芙妮 (DAPHNE),未分类,上海嘉定仓,广州,申通快递,特快专递,2026-05-21,2026-05-24,2026-05-24,3,237.09,135,291.46,运输中
YT2605204502900,3502712841813761534,南极人5双 除臭鞋垫女男透气吸汗防臭留香软底舒适超软皮鞋鞋垫子,南极人 (NANJIREN),未分类,广州白云仓,南京,极兔速递,同城配送,2026-05-20,2026-05-23,2026-05-25,5,19.03,2,8.52,已延误
YT2605114304799,3493611202687407907,HLA海澜之家2021秋季新品舒适长袖衬衫HNCAJ3D802A,海澜之家 (HLA),服装,北京通州仓,宁波,德邦物流,陆运快件,2026-05-11,2026-05-15,2026-05-15,4,16.27,1,99.0,已签收
YT2604171191588,3461747434684862617,妃鱼 巴宝莉 手提包 98成新,巴宝莉 (BURBERRY),箱包饰品,上海嘉定仓,济南,京东物流,航空快件,2026-04-17,2026-04-19,2026-04-19,2,20.64,1,2305.0,运输中
YT2606178629604,3440587319860718955,笛莎宽松加绒长裤儿童运动裤,笛莎 (DEESHA),母婴,成都双流仓,北京,中通快递,特快专递,2026-06-17,2026-06-20,2026-06-20,3,22.45,5,69.6,运输中
YT2606126547980,3479718518826621797,胖虎巴宝莉 98新 公价7800,巴宝莉 (BURBERRY),箱包饰品,北京通州仓,南宁,极兔速递,同城配送,2026-06-12,2026-06-13,2026-06-13,1,21.03,4,2399.0,已签收
YT2605105094126,3493259135485649500,日本惠百施牙刷,惠百施 (EBISU),个护化妆,成都双流仓,沈阳,顺丰速运,标准快递,2026-05-10,2026-05-15,2026-05-15,5,18.79,2,30.98,运输中
YT2606081837647,3486019066341283201,左西男童背心棉夏装2021新款韩版潮洋气中大童 XY192191,左西,母婴,北京通州仓,深圳,极兔速递,航空快件,2026-06-08,2026-06-09,2026-06-09,1,41.53,24,25.46,派送中
YT2604064466284,3483620206688002794,妈妈很忙山楂优块 休闲健康 128g,妈妈很忙,食品酒水,广州白云仓,苏州,极兔速递,特快专递,2026-04-06,2026-04-09,2026-04-09,3,140.66,49,3.44,运输中
YT2605094448736,3458940899025882723,茉莉绿茶年货135g 3罐礼盒装2021日照茉莉花茶新茶叶,中闽飘香 (Zmpx),家居家装,广州白云仓,济南,圆通快递,特快专递,2026-05-09,2026-05-14,2026-05-14,5,32.69,6,68.0,派送中
YT2605077793428,3470252279389630057,HLA海澜之家条纹款POLO衫男邦邦两拳上衣HNTPD2D601A,海澜之家 (HLA),服装,北京通州仓,石家庄,申通快递,航空快件,2026-05-07,2026-05-10,2026-05-10,3,113.2,137,156.37,已签收
YT2604155429306,3475604131148897486,李宁女鞋2021新款001启程CNY日进斗金新年限定白休闲鞋AGCR028,李宁 (LI-NING),运动健康,上海嘉定仓,北京,德邦物流,陆运快件,2026-04-15,2026-04-19,2026-04-19,4,17.36,3,332.22,已签收
YT2606106266468,3476571767970135745,苏泊尔火红点Bingo炒锅煎锅多用汤锅家用不粘锅,苏泊尔 (SUPOR),家居家装,广州白云仓,昆明,极兔速递,同城配送,2026-06-10,2026-06-13,2026-06-13,3,11.43,1,865.57,已签收
YT2604112184443,3486051319314286886,610抖C 路易威登 98新 6752352,路易威登 (Louis Vuitton),未分类,北京通州仓,长沙,极兔速递,同城配送,2026-04-11,2026-04-16,2026-04-16,5,6.93,1,16000.0,派送中
YT2605157262760,3474786586120605013,艾尚肌烟酰胺光感透亮安瓶套盒,艾尚肌,个护化妆,武汉东西湖仓,福州,极兔速递,标准快递,2026-05-15,2026-05-16,2026-05-16,1,32.19,8,39.9,运输中
YT2606056930015,3477321581146048052,S HUAWEI 华为Sound智能音箱,华为 (HUAWEI),手机数码,上海嘉定仓,宁波,申通快递,航空快件,2026-06-05,2026-06-07,2026-06-07,2,8.08,1,1554.0,已揽收
YT2606033393947,3479979313527400700,简澳本 美女印花短袖T恤,简澳本 (JIANAOBEN),服装,北京通州仓,广州,德邦物流,标准快递,2026-06-03,2026-06-06,2026-06-06,3,21.6,3,64.36,运输中
YT2605151740147,3437480035391534753,789 中国黄金 碧yu平安扣银镶yu项链,中国黄金 (China Gold),未分类,武汉东西湖仓,合肥,中通快递,特快专递,2026-05-15,2026-05-19,2026-05-19,4,2467.49,860,259.01,已签收
YT2604179879517,3482278117454782246,七度空间极薄日用卫生巾5片 3包,七度空间 (SPACE7),个护化妆,上海嘉定仓,哈尔滨,京东物流,航空快件,2026-04-17,2026-04-18,2026-04-18,1,40.85,31,9.84,已签收
YT2605213147533,3484125791011386536,健身福利 A 瑜伽服健身长袖短袖,佑游,运动健康,北京通州仓,上海,极兔速递,航空快件,2026-05-21,2026-05-24,2026-05-24,3,24.93,3,16.58,派送中
YT2604239996383,3452455601236507668,乔丝蔻天气丹紧致 美容按摩霜3瓶,后 (The history of whoo),个护化妆,成都双流仓,深圳,圆通快递,同城配送,2026-04-23,2026-04-26,2026-04-26,3,26.33,9,72.26,已签收
YT2604176859018,3448720407639759562,巴拉巴拉童装2020春款男童外套儿童加绒炫酷冲锋衣22051201224,巴拉巴拉 (BALABALA),母婴,武汉东西湖仓,济南,德邦物流,航空快件,2026-04-17,2026-04-19,2026-04-19,2,20.9,1,149.0,已揽收
YT2606117939906,3460625438936812877,巴宝莉法棍包 98新 公价8000 BG1164,巴宝莉 (BURBERRY),个护化妆,北京通州仓,重庆,申通快递,标准快递,2026-06-11,2026-06-16,2026-06-16,5,19.03,1,3100.0,派送中
YT2606294668917,3479729945587149379,淘只女表 98新浪琴军旗女表L4 274 3 32 7公价12100表径26,浪琴 (Longines),运动健康,广州白云仓,南昌,圆通快递,航空快件,2026-06-29,2026-07-01,2026-07-01,2,7.52,1,4600.0,已揽收
YT2605082615638,3485496542541044602,Daphne 达芙妮高跟鞋时装凉鞋女鞋8厘米 2021DFN8900 1,达芙妮 (DAPHNE),服装,广州白云仓,重庆,德邦物流,陆运快件,2026-05-08,2026-05-10,2026-05-10,2,11.92,1,171.6,派送中
YT2606163776771,3450786697036566107,达芙妮烟筒靴202005501短筒,达芙妮 (DAPHNE),未分类,武汉东西湖仓,厦门,顺丰速运,标准快递,2026-06-16,2026-06-21,2026-06-22,6,22.48,4,169.0,已延误
YT2604093826102,3467441620771818226,宴会女鞋方扣高跟鞋2021新款尖头浅口单鞋百搭,歐惑 (ouhuo),服装,成都双流仓,天津,韵达物流,航空快件,2026-04-09,2026-04-13,2026-04-13,4,97.13,29,159.82,派送中
YT2604263364113,3387684254916960056,倍思 玻璃水泡腾片汽车雨刮精超浓缩固体雨刷精缩液强力去污套装,倍思 (BASEUS),汽车用品,广州白云仓,哈尔滨,圆通快递,同城配送,2026-04-26,2026-04-29,2026-04-29,3,23.36,2,15.55,派送中
YT2606086399008,3471340800204483841,椭圆微镶黑色百搭耳钉2254 32,雅漾 (饰物),箱包饰品,上海嘉定仓,西安,申通快递,航空快件,2026-06-08,2026-06-12,2026-06-12,4,358.11,151,3.99,已签收
YT2606091392263,3483812077875926543,人本2021夏季薄款网布平底鞋运动休闲单鞋百搭1WXR021508,人本 (RENBEN),服装,广州白云仓,石家庄,申通快递,陆运快件,2026-06-09,2026-06-12,2026-06-12,3,17.8,2,107.1,已揽收
YT2604301125944,3455940918107100380,CPB隔离,肌肤之匙 (CPB),个护化妆,武汉东西湖仓,上海,德邦物流,同城配送,2026-04-30,2026-05-01,2026-05-01,1,7.65,1,78.89,已签收
YT2606189073715,3452097976456104496,中式田园客厅茶几地毯卧室床边毯飘窗垫,德阳,家居家装,广州白云仓,杭州,顺丰速运,特快专递,2026-06-18,2026-06-23,2026-06-23,5,14.3,2,15.12,已签收
YT2604131516526,3444439903377736147,minipeace童装女童家居服F2KEA3A04,MiniPeace,服装,成都双流仓,南昌,极兔速递,特快专递,2026-04-13,2026-04-16,2026-04-16,3,52.62,13,140.0,运输中
YT2606246331773,3498850530195814274,Semir厚底帆布鞋109521141002,森马 (Semir),服装,成都双流仓,贵阳,申通快递,航空快件,2026-06-24,2026-06-26,2026-06-26,2,172.65,78,65.36,运输中
YT2605043121510,3493320738310633828,雅诗兰黛小棕瓶特润修护精华眼霜5ml,雅诗兰黛 (ESTEE LAUDER),个护化妆,成都双流仓,深圳,圆通快递,航空快件,2026-05-04,2026-05-08,2026-05-08,4,1268.55,662,69.0,运输中
YT2604074904928,3457997717647848698,Adidas阿迪达斯男女板鞋FW6384,阿迪达斯 (Adidas),运动健康,武汉东西湖仓,重庆,极兔速递,陆运快件,2026-04-07,2026-04-08,2026-04-08,1,506.84,340,399.0,派送中
YT2606035282268,3456388797120537157,LYP 古驰 钱包 95成新 公价5500,古驰 (GUCCI),箱包饰品,北京通州仓,石家庄,极兔速递,同城配送,2026-06-03,2026-06-06,2026-06-06,3,16.16,2,919.0,已签收
YT2606254773486,3463014323193010244,YSLD金瓶J体验套盒,雅诗兰黛 (ESTEE LAUDER),汽车用品,上海嘉定仓,宁波,圆通快递,航空快件,2026-06-25,2026-06-26,2026-06-26,1,19.3,3,664.89,派送中
YT2605271382673,3469375285856738100,安洁利严选LV speedy25 95新 xsc203,路易威登 (Louis Vuitton),箱包饰品,成都双流仓,厦门,圆通快递,同城配送,2026-05-27,2026-05-29,2026-05-29,2,11.67,1,7880.0,已签收
YT2605181622878,3436495390516607873,胖虎y 95新 公价13500 991906150018,出处,家居家装,广州白云仓,杭州,极兔速递,陆运快件,2026-05-18,2026-05-19,2026-05-19,1,15.67,1,2999.0,派送中
YT2606231197087,3472109419087675953,巴拉巴拉童鞋24 401201468,巴拉巴拉 (BALABALA),母婴,上海嘉定仓,沈阳,韵达物流,标准快递,2026-06-23,2026-06-28,2026-06-28,5,10.23,1,89.9,运输中
YT2605238921598,3478252120279532947,YONEX尤尼克斯羽毛球鞋 yy网球运动鞋耐磨训练舒适款宽楦TS2,尤尼克斯 (YONEX),运动健康,武汉东西湖仓,太原,中通快递,陆运快件,2026-05-23,2026-05-24,2026-05-24,1,19.96,3,455.72,派送中
YT2604156947490,3477330909848536123,五粮液股份1995专卖店小酒50ml浓香型白酒52度,五粮液 (WULIANGYE),食品酒水,成都双流仓,南宁,德邦物流,特快专递,2026-04-15,2026-04-17,2026-04-17,2,29.61,13,127.0,运输中
YT2604094233123,3479340651898869574,6806爱森乐韩版裙桔色,爱森乐,服装,武汉东西湖仓,天津,极兔速递,航空快件,2026-04-09,2026-04-12,2026-04-12,3,84.67,48,28.0,已签收
YT2605084214788,3431454578611250385,Y8001A06930雅鹿羽绒服,雅鹿（YALOO）,未分类,北京通州仓,西安,顺丰速运,航空快件,2026-05-08,2026-05-12,2026-05-12,4,12.67,1,399.01,已签收
YT2604268857061,3437036580018244449,老权专享 自热火锅纯素套餐 每盒净含量300克 共5盒,嘴上功夫,家用电器,武汉东西湖仓,沈阳,顺丰速运,陆运快件,2026-04-26,2026-04-28,2026-04-28,2,16.5,2,69.9,已签收
YT2605185757293,3473935918447123329,梵贞双滚轮美颈系列,梵贞,个护化妆,成都双流仓,北京,顺丰速运,同城配送,2026-05-18,2026-05-22,2026-05-22,4,21.89,6,29.9,已签收
YT2604214203460,3429832792425556929,MAC 魅可柔感哑光Chili 01,魅可 (MAC),未分类,成都双流仓,郑州,申通快递,航空快件,2026-04-21,2026-04-25,2026-04-25,4,15.29,3,166.01,已签收
YT2606108005027,3434083470001995549,李宁篮球 青少年儿童五号球025,李宁 (LI-NING),未分类,武汉东西湖仓,哈尔滨,京东物流,同城配送,2026-06-10,2026-06-11,2026-06-11,1,40.58,15,79.01,运输中
YT2605252839928,3469362280561564901,312抖C 古驰 准新 5547106,古驰 (GUCCI),服装,成都双流仓,合肥,中通快递,航空快件,2026-05-25,2026-05-28,2026-05-28,3,16.13,1,5250.0,运输中
YT2606157652046,3476007806543512009,海澜之家夏季撞色条纹镶拼舒适棉质短袖T恤HNTBJ2D121A,海澜之家 (HLA),服装,上海嘉定仓,大连,韵达物流,陆运快件,2026-06-15,2026-06-20,2026-06-20,5,26.6,8,63.0,已揽收
YT2604267655242,3472478513477617665,康师傅330ml 12冰红茶绿茶茉莉蜜茶,康师傅,未分类,武汉东西湖仓,太原,德邦物流,标准快递,2026-04-26,2026-05-01,2026-05-01,5,19.73,1,19.9,已签收
YT2606044401339,3437257616299000248,阿迪达斯男子休闲服EI5615,阿迪达斯 (Adidas),未分类,广州白云仓,合肥,顺丰速运,陆运快件,2026-06-04,2026-06-06,2026-06-06,2,21.4,2,199.51,已签收
YT2605307337366,3430148490767036970,Q803178连衣裙,香影 (xiangying),服装,上海嘉定仓,贵阳,顺丰速运,特快专递,2026-05-30,2026-06-02,2026-06-03,4,23.22,2,148.0,已延误
YT2605223540162,3489158051729149586,Fila 斐乐斐乐潮牌新款花色外套女T11W136701F,斐乐 (FILA),运动健康,武汉东西湖仓,福州,京东物流,标准快递,2026-05-22,2026-05-23,2026-05-23,1,11.81,1,1269.0,已签收
YT2604222327443,3457108940855333257,117Y70160 柒牌男装针织衫,柒牌 (seven7),服装,武汉东西湖仓,南昌,韵达物流,特快专递,2026-04-22,2026-04-25,2026-04-25,3,23.29,4,179.0,运输中
YT2604276644725,3469677557073474325,阿迪达斯adidas女款2021夏季新款时尚休闲运动休闲长裤 GP7125,阿迪达斯 (Adidas),服装,上海嘉定仓,武汉,圆通快递,同城配送,2026-04-27,2026-05-02,2026-05-02,5,8.77,1,219.0,已揽收
YT2604106464350,3476404259950568579,肌琳莎烟酰胺净透润滑洁面奶100g,肌琳莎 (jilinsha),个护化妆,成都双流仓,大连,德邦物流,陆运快件,2026-04-10,2026-04-11,2026-04-11,1,28.95,5,6.6,已签收
YT2604099384363,3460466327452562179,爱马仕 95新 210123231,奢小喵,箱包饰品,武汉东西湖仓,北京,京东物流,特快专递,2026-04-09,2026-04-11,2026-04-11,2,20.29,1,9800.0,派送中
YT2604088930025,3466913552344994758,菱格大容量包女2021新款网红单肩包百搭斜挎水桶包,芊百色 (QIANBAISE),箱包饰品,北京通州仓,苏州,韵达物流,航空快件,2026-04-08,2026-04-12,2026-04-12,4,14.58,1,45.8,已签收
YT2604276593729,3486234052992849229,滴露免洗抑菌洗手液松木 50ml,滴露 (Dettol),家居家装,广州白云仓,沈阳,中通快递,同城配送,2026-04-27,2026-05-01,2026-05-03,6,9.82,1,14.9,已延误
YT2604058868434,3469927734514437914,大码女装显瘦减龄遮肉重工蕾丝连衣裙7008,菲尼娜 (feinina),服装,上海嘉定仓,长春,顺丰速运,标准快递,2026-04-05,2026-04-06,2026-04-06,1,19.04,3,188.88,已签收
YT2604178600839,3474870337747955990,芮丽娅 春季新款空气感编织直筒牛仔裤,芮丽娅 (ruiliya),家居家装,成都双流仓,重庆,顺丰速运,特快专递,2026-04-17,2026-04-19,2026-04-21,4,22.47,3,74.92,已延误
YT2606039102081,3471196388539395428,DOCTOR LI李医生卸妆水温和清洁,李医生 (DOCTOR LI),个护化妆,北京通州仓,杭州,申通快递,同城配送,2026-06-03,2026-06-08,2026-06-08,5,11.1,1,69.9,已签收
YT2605158868389,3466778164322254295,匡威中性款休闲鞋板鞋 CS162050,匡威 (CONVERSE),运动健康,上海嘉定仓,昆明,极兔速递,航空快件,2026-05-15,2026-05-19,2026-05-19,4,17.76,4,439.0,运输中
YT2604188472062,3437030146081741889,A196 TeenieWeenie Kids小熊童装冬季女童卫衣TKMW94961K,teenieweenieKIDS,未分类,武汉东西湖仓,成都,京东物流,陆运快件,2026-04-18,2026-04-23,2026-04-23,5,57.6,40,140.17,运输中
YT2606246338237,3455560295907517785,peacebird男装 羽绒服中长款毛领连帽加厚外套BWAC94171,太平鸟 (PEACEBIRD),服装,广州白云仓,哈尔滨,中通快递,同城配送,2026-06-24,2026-06-26,2026-06-26,2,12.5,3,1554.44,已签收
YT2605192387452,3472174178696846710,森马女款拼接茄克13 030080902,森马 (Semir),服装,上海嘉定仓,青岛,京东物流,同城配送,2026-05-19,2026-05-20,2026-05-20,1,14.95,1,79.0,已签收
YT2606246868670,3481230699435057237,欧诗漫淡斑面膜 七阿姨,欧诗漫 (OSM),个护化妆,武汉东西湖仓,大连,申通快递,标准快递,2026-06-24,2026-06-25,2026-06-25,1,142.3,202,149.8,运输中
YT2605044844488,3485466230951914774,Q巴拉巴拉春装男中童2020秋装新款长袖卫衣T恤22213201102,巴拉巴拉 (BALABALA),母婴,上海嘉定仓,苏州,韵达物流,航空快件,2026-05-04,2026-05-07,2026-05-07,3,7.54,1,80.0,派送中
YT2606057211015,3478450408198956827,阿迪达斯官网adidas TH PNT WV ID男装运动型格长裤 GP0959,阿迪达斯 (Adidas),运动健康,北京通州仓,长春,韵达物流,同城配送,2026-06-05,2026-06-06,2026-06-06,1,19.25,3,499.17,已签收
YT2604303661904,3441678887761898669,魔香持久造型弹力素护卷 专用保湿女弹簧素修护精华蓬松,魔香,未分类,成都双流仓,太原,申通快递,特快专递,2026-04-30,2026-05-02,2026-05-02,2,10.73,1,47.91,派送中
YT2605014354392,3442997062709430738,李宁羽绒服女冬季轻便保暖连帽休闲运动羽绒服026,李宁 (LI-NING),未分类,武汉东西湖仓,深圳,申通快递,同城配送,2026-05-01,2026-05-06,2026-05-06,5,15.27,2,164.08,运输中
YT2605212415891,3482876365596959195,GYA HZ安踏女跑鞋122025572,安踏 (ANTA),运动健康,北京通州仓,杭州,德邦物流,陆运快件,2026-05-21,2026-05-25,2026-05-25,4,19.99,1,148.75,派送中
YT2606013461554,3483787856567238496,回力超软运动鞋垫男女军训吸汗防臭增高乳胶硅胶减震久站不累神器,回力 (Warrior),服装,成都双流仓,长春,顺丰速运,陆运快件,2026-06-01,2026-06-03,2026-06-03,2,78.75,25,13.13,运输中
YT2606248509130,3481062841426004696,富安娜夏日缤纷时尚家居拖鞋,富安娜 (FUANNA),家居家装,北京通州仓,成都,申通快递,标准快递,2026-06-24,2026-06-29,2026-06-29,5,288.64,93,19.9,运输中
